contract_id,rank,source,topic,score,text
EU_90a02313d1336c1e32da7161fad02bc8c39f8a18b5a264a8a15a7354e436b46d_1,3,Unsupervised anomaly detection guidance,anomaly detection,0.0,"Embedding-space anomalies are contracts whose language or metadata differ from the broader corpus. Isolation Forest flags unusual records without using fraud labels, so its results should be used to prioritize review rather than to classify misconduct. Stronger concern arises when anomaly flags overlap with interpretable procurement indicators."
EU_3ef30dfc109956a9d28ad9d8683c021f483d1805e8cc0980f97ed66c6fc1ad43_1,1,Model evaluation guidance - imbalanced labels,evaluation,0.0,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_3ef30dfc109956a9d28ad9d8683c021f483d1805e8cc0980f97ed66c6fc1ad43_1,2,Academic prototype disclaimer,responsible use,0.0,"This system is an academic decision-support prototype. A suspicious label, model score, similarity score, or anomaly flag is not evidence of fraud, collusion, or illegal behavior. Outputs should be framed as risk indicators requiring human review and additional source documentation."
EU_3ef30dfc109956a9d28ad9d8683c021f483d1805e8cc0980f97ed66c6fc1ad43_1,3,Unsupervised anomaly detection guidance,anomaly detection,0.0,"Embedding-space anomalies are contracts whose language or metadata differ from the broader corpus. Isolation Forest flags unusual records without using fraud labels, so its results should be used to prioritize review rather than to classify misconduct. Stronger concern arises when anomaly flags overlap with interpretable procurement indicators."
EU_5d47ee01d62f03d906552dd5faa2e22b05103201c2922501ccf4ecdb24195cc0_1,1,Model evaluation guidance - imbalanced labels,evaluation,0.0,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_5d47ee01d62f03d906552dd5faa2e22b05103201c2922501ccf4ecdb24195cc0_1,2,Academic prototype disclaimer,responsible use,0.0,"This system is an academic decision-support prototype. A suspicious label, model score, similarity score, or anomaly flag is not evidence of fraud, collusion, or illegal behavior. Outputs should be framed as risk indicators requiring human review and additional source documentation."
EU_5d47ee01d62f03d906552dd5faa2e22b05103201c2922501ccf4ecdb24195cc0_1,3,Unsupervised anomaly detection guidance,anomaly detection,0.0,"Embedding-space anomalies are contracts whose language or metadata differ from the broader corpus. Isolation Forest flags unusual records without using fraud labels, so its results should be used to prioritize review rather than to classify misconduct. Stronger concern arises when anomaly flags overlap with interpretable procurement indicators."
EU_0a3b5547af94972ea22aa64d6bf396deb56504664ce45bdcd33ede1b617aa211_1,1,EU procurement principle - equal treatment,short tender period,0.0968282264470285,"A short advertisement or tender period can reduce effective competition because suppliers have less time to prepare bids. Reviewers should check whether the deadline was proportionate to contract complexity, whether urgency was justified, and whether the short period coincides with other red flags such as single bidding or repeated awards."
EU_0a3b5547af94972ea22aa64d6bf396deb56504664ce45bdcd33ede1b617aa211_1,2,NER entity-linking red flag - shared address or location,entity linking,0.08922807218087193,"Named Entity Recognition can extract organization and location mentions from tender text. Shared addresses or recurring location mentions across supposedly independent records can be legitimate, but they may also indicate parent-company relationships, shared administration, or shell-company patterns that deserve human review."
EU_0a3b5547af94972ea22aa64d6bf396deb56504664ce45bdcd33ede1b617aa211_1,3,EU procurement principle - competition,single bidding,0.08587183474480328,"Single-bid procedures are a common procurement red flag because they may indicate weak competition, narrow specifications, limited market outreach, or a tender design that discouraged alternative bidders. A single-bid flag is not proof of misconduct, but it should prompt review of the procedure type, publication quality, deadlines, contract specificity, and buyer history."
EU_009bda8827c3dcb8a068b6d3a7737b4bf0f82824fa3dced497a5a70acc6547d5_1,1,Academic prototype disclaimer,responsible use,0.14013943765124978,"This system is an academic decision-support prototype. A suspicious label, model score, similarity score, or anomaly flag is not evidence of fraud, collusion, or illegal behavior. Outputs should be framed as risk indicators requiring human review and additional source documentation."
EU_009bda8827c3dcb8a068b6d3a7737b4bf0f82824fa3dced497a5a70acc6547d5_1,2,Model evaluation guidance - imbalanced labels,evaluation,0.0,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_009bda8827c3dcb8a068b6d3a7737b4bf0f82824fa3dced497a5a70acc6547d5_1,3,Unsupervised anomaly detection guidance,anomaly detection,0.0,"Embedding-space anomalies are contracts whose language or metadata differ from the broader corpus. Isolation Forest flags unusual records without using fraud labels, so its results should be used to prioritize review rather than to classify misconduct. Stronger concern arises when anomaly flags overlap with interpretable procurement indicators."
